               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               3.806,              4.3997,              4.3727,             0.40922,               0.225,             0.20795,            0.067847,                   0,                   0,                   0,             0.07006,           0.0033267,           0.0033267
                   1,              3.5479,              3.4714,              4.1519,             0.56553,                0.45,             0.48348,              0.2147,                   0,                   0,                   0,            0.040038,            0.006638,            0.006638
                   2,              3.2069,              3.1007,              3.8728,             0.57325,             0.51494,              0.5776,             0.31562,                   0,                   0,                   0,            0.009994,           0.0099274,           0.0099274
                   3,              2.6913,              2.8148,               3.556,             0.84171,             0.59167,             0.72162,             0.44149,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,              2.4453,              2.6532,              3.2169,             0.81631,             0.56667,             0.68034,             0.43641,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,              2.2792,              2.5329,               2.967,             0.83038,               0.625,             0.73215,             0.50072,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,              2.1241,              2.3788,              2.8347,             0.83349,             0.67917,             0.78227,             0.53889,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,              2.0805,              2.2747,              2.6463,             0.78105,             0.68333,             0.75047,             0.52982,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,              2.0112,              2.1753,              2.5813,             0.86819,             0.72083,             0.81762,             0.58857,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,              1.9612,              2.1524,              2.4541,             0.85882,             0.65901,             0.80769,             0.56704,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,               1.829,              2.0038,              2.3912,             0.92592,             0.67699,             0.80195,             0.57651,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,              1.8312,               2.045,              2.4128,             0.94396,              0.7018,             0.82853,             0.59481,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                  12,              1.7183,              1.9188,              2.3359,             0.81601,             0.72917,             0.79341,             0.58119,                   0,                   0,                   0,            0.009637,            0.009637,            0.009637
                  13,              1.7302,              1.8462,               2.239,             0.88852,             0.74167,             0.83499,             0.60958,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,              1.7166,              1.8849,              2.2627,             0.84757,             0.77083,             0.83361,             0.60366,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,              1.6914,              1.9167,              2.1811,             0.73053,               0.775,             0.72554,             0.52333,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,              1.6083,              1.7606,              2.1102,             0.91584,             0.72552,             0.84712,             0.62382,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,              1.6867,               1.815,               2.231,             0.90818,             0.77083,             0.88233,             0.63671,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  18,              1.6602,              1.7842,              2.2233,             0.93233,             0.74625,             0.87498,             0.63278,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
                  19,               1.617,              1.7879,              2.0952,             0.88517,             0.80301,              0.9002,             0.65668,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  20,              1.5906,              1.6618,              2.0943,             0.80674,             0.78333,             0.86743,              0.6161,                   0,                   0,                   0,            0.009373,            0.009373,            0.009373
                  21,              1.6308,              1.7966,              2.0881,             0.88968,             0.77284,             0.86214,              0.6163,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  22,              1.5387,              1.7125,              2.0394,             0.90538,             0.79742,             0.89211,             0.64996,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  23,               1.524,              1.5645,              2.0287,              0.8952,             0.81864,             0.90117,             0.65489,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  24,              1.6002,              1.6671,              2.1262,             0.90483,             0.76667,             0.86699,             0.61491,                   0,                   0,                   0,            0.009241,            0.009241,            0.009241
                  25,               1.593,              1.6091,              2.0269,             0.92143,             0.78185,             0.88774,             0.64061,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  26,              1.5201,              1.5075,              1.9765,             0.90341,             0.75833,             0.86312,             0.62674,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                  27,               1.555,              1.6496,              2.0455,             0.93683,             0.74155,             0.87212,              0.6309,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  28,              1.5334,              1.5883,              1.9858,             0.84919,             0.79768,             0.86152,             0.62108,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  29,              1.5719,              1.6272,              2.0822,             0.75781,             0.81667,             0.80645,             0.57547,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  30,               1.451,              1.4969,              1.8847,             0.86183,              0.8125,             0.83835,              0.6173,                   0,                   0,                   0,            0.009043,            0.009043,            0.009043
                  31,              1.4856,              1.5939,              1.9993,             0.85654,                 0.8,             0.85094,             0.63128,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  32,              1.4083,              1.5186,               1.873,             0.87015,             0.83767,             0.90199,             0.65222,                   0,                   0,                   0,            0.008977,            0.008977,            0.008977
                  33,              1.4287,               1.449,              1.8942,             0.79313,             0.76679,             0.80399,             0.57618,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  34,              1.4771,              1.5113,              1.9117,             0.88941,              0.8375,             0.89722,             0.66933,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  35,              1.4151,               1.432,              1.8957,             0.85954,             0.84144,             0.90934,             0.67088,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  36,              1.4422,              1.4586,              1.8717,             0.86943,             0.84583,             0.89128,             0.65724,                   0,                   0,                   0,            0.008845,            0.008845,            0.008845
                  37,              1.4238,              1.4378,              1.9129,             0.90034,              0.7875,             0.87667,             0.64465,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  38,              1.3929,              1.4115,              1.8618,             0.90808,              0.7625,             0.87734,             0.65007,                   0,                   0,                   0,            0.008779,            0.008779,            0.008779
                  39,              1.4368,              1.4455,              1.8693,             0.85982,             0.79167,             0.85152,             0.62638,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  40,               1.398,              1.4015,              1.8573,              0.8721,             0.76711,             0.79669,             0.57841,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  41,               1.342,              1.3286,              1.8049,             0.89894,             0.79583,             0.87731,             0.64315,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  42,              1.4267,              1.3962,              1.9134,             0.91147,                 0.8,             0.91727,              0.6829,                   0,                   0,                   0,            0.008647,            0.008647,            0.008647
                  43,              1.3258,              1.3121,              1.7298,             0.94709,             0.80417,             0.90898,             0.66957,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  44,              1.4118,              1.3676,              1.9126,             0.88441,             0.86073,             0.91891,              0.6678,                   0,                   0,                   0,            0.008581,            0.008581,            0.008581
                  45,              1.4013,              1.3937,              1.8585,             0.93157,             0.79583,             0.90439,             0.66243,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  46,              1.4555,              1.4081,              1.9353,             0.82151,              0.8375,             0.86705,             0.63233,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  47,              1.3665,              1.3466,               1.873,             0.90904,             0.82083,             0.91093,             0.67068,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  48,              1.3778,              1.3179,              1.8434,             0.96129,             0.79583,             0.91014,             0.66814,                   0,                   0,                   0,            0.008449,            0.008449,            0.008449
                  49,              1.2963,              1.2381,              1.7613,             0.90421,             0.78661,             0.87731,             0.64321,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  50,              1.3272,              1.2626,              1.8298,             0.79701,             0.82917,             0.80253,              0.5829,                   0,                   0,                   0,            0.008383,            0.008383,            0.008383
                  51,              1.4407,              1.3111,              1.9337,             0.88523,                 0.8,             0.85071,             0.62433,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  52,              1.4251,              1.3449,              1.8783,              0.9305,             0.78096,              0.8868,             0.65518,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  53,              1.3986,              1.3059,              1.8268,             0.87546,             0.82013,             0.86574,             0.63306,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  54,              1.3603,              1.3757,              1.8164,             0.90924,             0.80417,             0.91732,             0.67888,                   0,                   0,                   0,            0.008251,            0.008251,            0.008251
                  55,              1.3554,              1.2787,              1.8115,             0.81371,             0.76441,             0.81006,             0.58267,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  56,              1.2931,              1.2575,              1.7569,             0.86701,             0.76059,             0.83857,             0.61016,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  57,              1.3139,              1.3198,              1.7769,             0.88252,             0.81383,             0.88854,             0.65729,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  58,               1.292,              1.2769,              1.7993,             0.93418,              0.8279,             0.91627,             0.68796,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  59,              1.2932,              1.2593,              1.7282,                0.95,              0.7917,              0.8985,             0.66696,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  60,              1.2033,              1.1714,              1.6853,             0.93757,             0.78333,             0.89947,             0.65797,                   0,                   0,                   0,            0.008053,            0.008053,            0.008053
                  61,              1.3058,              1.2168,              1.7841,             0.89825,              0.8125,             0.89414,             0.65836,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  62,              1.3442,              1.2166,              1.8304,               0.943,             0.82719,             0.91288,             0.66861,                   0,                   0,                   0,            0.007987,            0.007987,            0.007987
                  63,              1.3798,              1.2545,              1.8574,             0.89431,             0.85417,             0.91661,             0.67048,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  64,              1.3238,              1.1839,              1.7962,             0.86573,              0.8375,             0.87218,             0.63417,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  65,               1.273,              1.1804,              1.7468,             0.84942,                0.85,             0.86028,             0.63208,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  66,              1.3148,               1.238,              1.8133,             0.85357,             0.87437,              0.8964,             0.65475,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
                  67,              1.3433,              1.2433,              1.7862,             0.86239,             0.85417,             0.88678,             0.65957,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  68,              1.3205,              1.1789,              1.7713,             0.86032,             0.85417,             0.86539,             0.63832,                   0,                   0,                   0,            0.007789,            0.007789,            0.007789
                  69,              1.3443,              1.2342,              1.8038,              0.6624,             0.78333,             0.64063,             0.46665,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  70,              1.3109,              1.2269,              1.7668,             0.86693,             0.84167,              0.8743,             0.63972,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  71,              1.3114,              1.1936,              1.7762,              0.9505,             0.80011,             0.90241,             0.65881,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  72,              1.2961,              1.2042,              1.7613,             0.87832,             0.82083,             0.87506,             0.63907,                   0,                   0,                   0,            0.007657,            0.007657,            0.007657
                  73,              1.3006,              1.2243,              1.7473,             0.85349,             0.83333,              0.8513,             0.62306,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  74,              1.2982,              1.2507,              1.7384,             0.83843,             0.80833,             0.83141,             0.59957,                   0,                   0,                   0,            0.007591,            0.007591,            0.007591
                  75,              1.3051,              1.1885,              1.7672,             0.79768,               0.825,             0.81098,             0.59956,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  76,              1.2699,              1.1629,              1.7008,             0.78072,               0.775,             0.75564,             0.54572,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  77,              1.2692,               1.197,              1.7377,              0.7514,             0.79583,             0.74583,             0.54201,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  78,              1.3178,              1.2164,              1.7747,             0.70511,              0.8125,             0.69101,             0.48928,                   0,                   0,                   0,            0.007459,            0.007459,            0.007459
                  79,              1.3102,              1.2192,              1.7492,             0.90841,             0.81667,             0.89256,             0.64691,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  80,              1.2926,              1.1325,              1.7342,             0.91325,             0.83338,             0.91308,             0.66406,                   0,                   0,                   0,            0.007393,            0.007393,            0.007393
                  81,               1.243,              1.1922,              1.6852,             0.91584,             0.77917,              0.8723,             0.62665,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  82,              1.2621,              1.1615,              1.6927,             0.71163,               0.775,             0.69279,             0.49924,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  83,              1.2851,              1.1443,              1.7369,             0.67536,             0.77145,             0.61966,             0.43985,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  84,              1.2823,              1.1576,              1.7189,             0.91313,             0.78836,             0.86876,             0.63203,                   0,                   0,                   0,            0.007261,            0.007261,            0.007261
                  85,              1.2712,              1.1276,              1.7201,             0.87661,             0.82886,             0.88445,             0.65162,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  86,              1.2202,              1.1836,              1.6928,             0.88192,             0.85417,              0.8762,             0.63854,                   0,                   0,                   0,            0.007195,            0.007195,            0.007195
                  87,              1.2704,              1.1746,              1.7284,             0.83035,             0.83613,             0.83562,             0.60248,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  88,              1.2686,              1.2069,               1.754,             0.85103,             0.83313,             0.84606,             0.61858,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  89,              1.2881,               1.108,              1.7182,             0.91764,             0.83565,             0.90728,             0.66636,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  90,              1.2663,              1.1386,               1.696,             0.84283,                0.85,             0.88821,             0.66091,                   0,                   0,                   0,            0.007063,            0.007063,            0.007063
                  91,              1.2329,              1.0889,              1.6721,             0.88618,              0.8435,              0.8924,             0.65772,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  92,              1.2143,              1.0805,              1.6653,             0.81219,                0.85,              0.8251,             0.60157,                   0,                   0,                   0,            0.006997,            0.006997,            0.006997
                  93,              1.2909,              1.2278,              1.7581,             0.91149,             0.80417,             0.87041,             0.63575,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
                  94,              1.1938,              1.1513,              1.6888,             0.94787,             0.84583,              0.9341,             0.69609,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  95,              1.2499,               1.062,              1.6853,             0.88382,             0.84583,             0.90957,             0.66933,                   0,                   0,                   0,            0.006898,            0.006898,            0.006898
                  96,              1.2708,              1.1467,                 1.7,             0.89553,               0.875,               0.903,             0.66298,                   0,                   0,                   0,            0.006865,            0.006865,            0.006865
                  97,              1.2837,              1.1722,              1.7179,             0.89968,               0.875,             0.92151,             0.69415,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  98,              1.1743,              1.1022,              1.6468,             0.93532,              0.8436,             0.92639,             0.68956,                   0,                   0,                   0,            0.006799,            0.006799,            0.006799
                  99,              1.2253,              1.1177,              1.7046,             0.94849,             0.84583,             0.93291,              0.7017,                   0,                   0,                   0,            0.006766,            0.006766,            0.006766
                 100,                1.22,              1.0849,              1.6944,             0.89086,             0.81623,             0.86093,              0.6397,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 101,              1.1907,              1.1333,              1.6809,             0.93023,             0.83327,             0.89208,             0.64484,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                 102,              1.2182,              1.0627,              1.6644,             0.94324,               0.825,             0.89947,              0.6611,                   0,                   0,                   0,            0.006667,            0.006667,            0.006667
                 103,              1.2003,              1.0653,              1.6652,             0.83125,             0.81667,             0.83313,             0.61151,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                 104,               1.257,              1.1325,              1.6901,             0.79218,             0.83333,             0.80738,             0.59561,                   0,                   0,                   0,            0.006601,            0.006601,            0.006601
                 105,              1.2291,              1.0626,              1.7109,             0.90492,             0.84583,             0.89614,             0.67289,                   0,                   0,                   0,            0.006568,            0.006568,            0.006568
                 106,              1.1925,              1.0092,              1.6771,             0.89934,             0.85623,             0.91782,             0.68458,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                 107,              1.2592,              1.1501,              1.7532,              0.9351,             0.84167,             0.92682,             0.69809,                   0,                   0,                   0,            0.006502,            0.006502,            0.006502
                 108,               1.227,              1.0691,              1.7173,             0.96184,              0.8125,             0.91137,             0.67248,                   0,                   0,                   0,            0.006469,            0.006469,            0.006469
                 109,              1.2094,               1.062,              1.6569,              0.9005,             0.82958,             0.89275,             0.65464,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                 110,              1.1913,              1.1076,              1.6667,             0.91915,              0.8375,             0.89137,             0.66133,                   0,                   0,                   0,            0.006403,            0.006403,            0.006403
                 111,              1.2044,              1.1115,                 1.7,             0.95715,             0.83772,             0.93698,             0.70551,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                 112,              1.2159,              1.0589,              1.7148,              0.9308,             0.86667,             0.92841,             0.69435,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                 113,              1.2425,              1.0408,              1.6617,             0.93442,             0.82917,             0.92031,             0.68152,                   0,                   0,                   0,            0.006304,            0.006304,            0.006304
                 114,              1.2397,              1.0611,              1.6754,             0.89541,              0.8375,             0.89905,             0.66859,                   0,                   0,                   0,            0.006271,            0.006271,            0.006271
                 115,              1.2225,              1.0509,              1.6482,              0.9371,             0.83333,             0.92292,             0.69066,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                 116,              1.1973,              1.0375,              1.6775,             0.90043,              0.8666,             0.92699,             0.68965,                   0,                   0,                   0,            0.006205,            0.006205,            0.006205
                 117,              1.2101,              1.0023,              1.6557,             0.88476,             0.86373,             0.89645,             0.66848,                   0,                   0,                   0,            0.006172,            0.006172,            0.006172
                 118,              1.1515,             0.98424,              1.6223,              0.9021,             0.84469,             0.87892,             0.66651,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                 119,              1.2118,              1.0266,              1.6858,             0.84781,             0.83564,              0.8474,             0.63666,                   0,                   0,                   0,            0.006106,            0.006106,            0.006106
                 120,              1.2269,              1.0585,              1.7178,             0.85813,             0.82083,             0.83577,             0.61957,                   0,                   0,                   0,            0.006073,            0.006073,            0.006073
                 121,              1.2205,              1.0568,              1.6787,             0.91716,             0.81667,              0.8857,             0.66075,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                 122,              1.2004,              1.0399,              1.6739,             0.91903,             0.85124,             0.91144,             0.68492,                   0,                   0,                   0,            0.006007,            0.006007,            0.006007
                 123,              1.1948,              1.0289,              1.6344,             0.94368,             0.83779,             0.92668,             0.69871,                   0,                   0,                   0,            0.005974,            0.005974,            0.005974
                 124,              1.2099,             0.98578,              1.6777,              0.9701,             0.85417,              0.9371,              0.7134,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                 125,               1.166,              1.0128,              1.6369,             0.86773,             0.90208,             0.93127,             0.70032,                   0,                   0,                   0,            0.005908,            0.005908,            0.005908
                 126,              1.2478,              1.0848,              1.7118,             0.92755,             0.85355,             0.91697,             0.68925,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
                 127,              1.1975,              0.9964,              1.6863,             0.91919,             0.85311,             0.92218,             0.68421,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                 128,              1.2021,             0.99883,               1.653,              0.8639,             0.84636,             0.84356,             0.61637,                   0,                   0,                   0,            0.005809,            0.005809,            0.005809
                 129,              1.1375,               1.046,              1.6164,             0.89841,              0.8875,             0.90062,              0.6679,                   0,                   0,                   0,            0.005776,            0.005776,            0.005776
                 130,              1.1712,              1.0221,              1.6435,             0.94012,             0.85833,              0.9251,             0.68932,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                 131,              1.1293,             0.93816,              1.5992,             0.91745,                0.85,             0.93049,             0.70009,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                 132,              1.1981,             0.98116,              1.6602,             0.93229,             0.86051,             0.92467,             0.69112,                   0,                   0,                   0,            0.005677,            0.005677,            0.005677
                 133,              1.2603,             0.99335,              1.7035,              0.8801,                0.85,             0.88275,             0.65229,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                 134,              1.1729,             0.96952,              1.6046,             0.88319,             0.85057,             0.88915,             0.65782,                   0,                   0,                   0,            0.005611,            0.005611,            0.005611
                 135,              1.1516,              1.0661,               1.604,             0.86756,             0.86667,             0.88495,             0.66472,                   0,                   0,                   0,            0.005578,            0.005578,            0.005578
                 136,              1.1797,             0.99502,              1.5897,             0.89029,             0.85833,             0.89684,             0.67002,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                 137,              1.1011,              0.9545,              1.5339,             0.90755,             0.81804,             0.87802,             0.65858,                   0,                   0,                   0,            0.005512,            0.005512,            0.005512
                 138,              1.1497,             0.96926,              1.5764,             0.93503,             0.84167,             0.91964,             0.68828,                   0,                   0,                   0,            0.005479,            0.005479,            0.005479
                 139,                1.15,             0.92776,              1.6551,             0.97062,               0.825,              0.9291,             0.69998,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                 140,              1.1754,             0.97219,              1.6321,             0.91152,             0.85851,             0.93021,             0.69863,                   0,                   0,                   0,            0.005413,            0.005413,            0.005413
                 141,              1.1588,             0.94674,              1.6088,              0.9298,             0.83333,             0.92391,             0.68629,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                 142,              1.2135,              1.0209,              1.6823,             0.90439,             0.86709,             0.92822,             0.68911,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                 143,              1.1662,              0.9111,              1.6043,             0.89296,             0.86898,             0.92457,             0.69576,                   0,                   0,                   0,            0.005314,            0.005314,            0.005314
                 144,              1.1701,              1.0307,              1.6731,             0.84503,             0.87083,             0.86596,             0.64175,                   0,                   0,                   0,            0.005281,            0.005281,            0.005281
